rule_id,clause_type,pattern,risk_level,reason,suggestion
LIA-001,违约责任,"违约金.*?(\d{2,})\s*%",高,违约金比例可能过高,依据《民法典》第585条若超过实际损失30%法院有权调减。,建议将违约金比例下调至10%-20%区间,并明确以实际损失为限。
LIA-002,违约责任,"单方面.{0,10}处置",高,"授予单方处置权违反《民法典》第207条物权平等保护原则。",删除单方处置条款,改为通过法院/仲裁申请财产保全。
LIA-003,违约责任,"无限连带责任",高,"无限连带责任未区分过错与上限,违反公平原则。",改为按过错与损失比例承担,并设定明确上限。
LIA-004,违约责任,"违约责任.{0,10}(另行|协商)约定",高,"违约责任空白条款实际等同于无违约救济。",补充具体违约金计算方式、赔偿范围与解除条件。
LIA-005,违约责任,"已支付.{0,10}不予退还",中,"不退款叠加赔偿可能构成重复救济。",二选一或明确退款与赔偿的扣减关系。
LIA-006,违约责任,"日.{0,3}万分之[5-9]",中,"日万分之5以上违约金折合年化超过18%,部分法院认定过高。",可考虑下调至日万分之三以内。
SEC-001,保密条款,"永久.{0,5}保密",高,"永久保密违反保密义务合理期限,易被认定无效。",改为3-5年定期保密,期满自动解除。
SEC-002,保密条款,"所有信息.{0,20}保密",高,"保密信息范围过广,实务中难以举证。","限定为""明确标注为机密/秘密""的信息。"
SEC-003,保密条款,"保密.{0,20}(违约|赔偿).{0,5}\d{2,}万",中,"固定金额惩罚性保密赔偿可能被认定过高。",改为按实际损失,惩罚性部分不超过实际损失的30%。
SEC-004,保密条款,"无.{0,5}保密期限",中,"未明确保密期限导致义务范围不确定。",补充明确的保密期限(建议3-5年)。
FOR-001,不可抗力,"政策变动.{0,15}不可抗力",高,"政策变动属于商业风险,不构成《民法典》第180条的不可抗力。","限定为""直接导致履行不能且不可预见的""政府强制行为。"
FOR-002,不可抗力,"供应商.{0,10}(断货|延迟).{0,10}不可抗力",高,"供应商问题属于一般商业风险,不构成法定不可抗力。",删除该约定,改为通过备选供应商或转包保障履行。
FOR-003,不可抗力,"自动终止",中,"自动终止过于绝对,缺乏协商空间。","改为""有权协商变更或解除合同""。"
FOR-004,不可抗力,"无.{0,5}不可抗力",中,"合同未约定不可抗力条款,履行受阻时易生争议。",补充定义、通知期、证明文件、解除条件。
DIS-001,争议解决,"既.{0,3}仲裁.{0,3}(又|也).{0,3}诉讼",高,"或裁或诉条款依据《仲裁法司法解释》第7条无效。",二选一,建议明确单一争议解决方式。
DIS-002,争议解决,"提交.{0,5}(某|本).{0,3}(所在地|当地).{0,5}仲裁",高,"未指明具体仲裁机构,依据《仲裁法》第18条仲裁协议无效。",明确具体仲裁机构名称。
DIS-003,争议解决,"(法律部|法务部|本公司).{0,10}(裁决|最终决定)",高,"内部机构非法定仲裁/司法机构,不具有强制执行力。",改为有管辖权的人民法院或合法仲裁机构。
DIS-004,争议解决,"放弃.{0,10}(诉讼|仲裁)",高,"排除司法救济违反公平原则与强制性规定。",删除该约定,保留法定救济途径。
DIS-005,争议解决,"单方.{0,5}(决定|选择).{0,5}争议",高,"争议解决方式不能由单方决定。",合同中明确约定唯一争议解决方式与机构。
GEN-001,其他,"本合同未尽事宜.{0,10}口头",中,"口头约定缺乏可证明性,实务中难以举证。","改为""另行书面协议""。"
